name1,nam2,money_1,money_2,result
7,15,3.72,1.5,-1
7,35,3.51,0.82,1
7,66,4.29,0.66,1
7,9,3.8,5.3,1
41,50,1.41,0.1258,1
41,80,1,0.05,-1
41,14,1.43,2.35,-1
41,24,0.798,0.46,1
22,67,1.6,0.0998,1
22,73,1.32,0.5745,1
22,39,1.77,1.29,-1
22,29,1.84,0.44,1
12,10,2.48,1.82,1
12,51,1.6,0.128,1
12,34,2.17,1.2,-1
12,4,1.6,4.03,0
12,72,1.3,0.108,1
2,39,2.67,1.16,-1
2,26,1.71,1.64,1
2,19,2.82,0.96,0
2,8,2.64,3.07,-1
2,49,2.15,0.542,0
31,16,0.1275,1.3,0
31,41,0.17,0.9285,1
31,60,0.0308,0.05,-1
11,5,4.74,6.16,0
11,36,4.45,0.78,0
11,6,3.75,3.44,1
11,36,4.25,0.724,-1
11,76,3.92,0.3185,1
31,28,0.0732,1.2,0
24,1,0.4785,5.22,-1
24,61,0.364,0.3488,1
24,96,0.249,0.08,0
24,79,0.449,0.0848,1
9,15,3.92,1.04,1
9,7,4.21,3.35,0
9,45,3.65,2.14,1
9,15,4.13,1.56,-1
9,65,4.18,0.584,1
61,1,0.74,5.86,-1
61,24,0.3488,0.364,-1
61,91,0.3,0.09,1
61,15,0.45,1.45,1
14,41,2.35,1.43,1
14,13,2.25,1,1
14,20,2.62,0.347,-1
14,47,2.41,0.645,1
14,29,2.09,0.3745,1
28,43,1.23,0.669,1
28,1,1.11,3.64,-1
28,31,1.2,0.0732,0
28,20,1.16,0.3888,1
30,1,0.3365,4.43,-1
61,1,0.74,5.86,-1
24,1,0.4785,5.22,-1
28,1,1.11,3.64,-1
82,1,0.0582,4.42,-1
44,1,0.5785,4.29,0
3,1,3.7,4.44,0
17,1,1.67,4.97,-1
14,1,1.97,4.035,-1
17,1,1.67,4.97,0
57,1,0.1775,3.61,-1
23,1,0.29,3.12,-1
29,1,0.391,3.56,-1
3,1,3.64,4.08,1
23,1,0.29,4.08,-1
29,1,0.297,5.15,-1
44,1,0.56,4.45,0
17,1,2.26,4.75,-1
23,1,0.331,4.63,-1
57,1,0.102,4.63,-1
47,1,0.602,4.75,-1
44,1,0.4,4.75,-1
42,21,2.72,1.95,-1
25,21,1.22,2.44,-1
63,21,0.724,1.11,0
25,21,0.69,1.51,-1
63,21,0.782,1.6,-1
42,21,2.5,1.81,1
10,21,1.76,1.85,1
36,21,0.605,1.59,-1
9,21,3.92,2.17,-1
50,21,0.064,0.835,-1
123,21,0.064,2.34,-1
92,21,0.1685,2.44,-1
50,21,0.064,1.72,-1
24,21,0.59,0.577,1
64,21,0.09,0.428,0
123,21,0.04,1.5,-1
9,21,4.4,2.47,0
49,21,0.41,1.54,-1
35,15,1.45,1.29,-1
7,15,3.72,1.5,-1
9,15,4.13,1.56,-1
7,15,3.22,1.13,1
9,15,3.92,1.04,1
35,15,1.08,1.45,1
107,15,0.55,1.25,0
72,15,0.103,1.13,-1
6,15,4.19,1.33,0
144,15,0.035,1.25,-1
