13	33	-1
36	12	-1
37	7	0
23	11	1
21	16	1
9	14	0
24	38	0
15	42	1
1	40	1
5	43	1
28	18	-1
39	44	-1
22	20	0
17	41	1
34	30	1
29	45	1
23	37	0
12	33	0
7	11	1
13	36	0
38	16	1
21	24	-1
15	9	1
14	42	1
1	39	1
5	28	-1
44	40	0
22	34	1
18	43	1
17	29	0
45	41	1
30	20	0
12	13	1
33	36	0
11	37	-1
7	23	-1
38	21	0
16	24	0
42	9	-1
14	15	-1
44	1	-1
40	39	1
43	28	1
18	5	0
30	22	-1
45	17	-1
41	29	1
20	34	1
12	24	-1
23	9	1
15	37	0
38	33	-1
1	20	1
18	29	-1
22	40	-1
17	5	1
24	1	-1
23	29	1
33	40	-1
15	17	0
23	17	1
1	40	1
17	40	-1
23	1	-1
23	44	1
41	43	-1
24	9	1
47	38	0
21	48	1
49	19	-1
18	26	1
53	45	-1
35	22	1
29	56	-1
5	55	1
17	57	1
13	46	0
1	28	1
15	52	1
30	11	0
23	41	1
43	44	1
24	47	1
38	9	1
21	49	1
19	48	1
18	53	0
45	54	1
56	55	-1
5	29	0
22	28	0
1	35	1
13	17	0
57	46	-1
11	52	-1
15	30	1
43	23	-1
44	41	-1
38	24	0
9	47	1
26	53	0
45	18	1
19	21	0
48	49	1
56	5	-1
55	29	1
22	1	-1
28	35	0
52	30	1
11	15	-1
57	13	-1
46	17	1
23	38	1
21	18	1
24	43	1
45	19	1
5	35	1
46	52	0
1	55	1
15	13	-1
23	21	0
5	52	1
24	45	0
1	13	-1
23	5	-1
45	13	-1
23	45	1
5	13	0
14	18	0
36	13	0
17	50	1
21	16	1
24	29	0
51	42	-1
58	55	-1
23	35	1
19	12	1
22	7	1
5	9	0
60	61	0
48	45	0
1	63	1
59	6	-1
15	46	-1
14	36	-1
21	17	1
50	16	1
13	18	-1
23	58	-1
42	29	0
24	51	0
19	22	1
55	35	0
7	12	-1
61	9	-1
5	60	0
1	48	1
45	63	1
6	46	1
15	59	1
18	36	-1
13	14	-1
16	17	0
50	21	-1
42	24	-1
29	51	1
55	23	-1
35	58	1
61	5	1
9	60	0
12	22	-1
7	19	-1
45	1	0
63	48	-1
6	15	-1
46	59	0
36	17	1
29	55	-1
23	24	1
21	18	1
19	61	1
1	6	1
9	22	0
15	45	1
19	1	1
36	55	0
21	23	-1
9	15	-1
36	19	-1
23	15	-1
36	23	-1
19	15	-1
1	28	1
18	7	1
15	19	-1
6	35	1
32	50	1
36	44	-1
24	5	-1
48	22	1
46	43	1
13	59	1
21	62	1
23	45	1
54	16	0
55	29	-1
20	51	1
1	18	0
34	17	0
35	19	-1
15	6	-1
7	28	-1
32	48	1
36	24	1
22	50	0
5	44	-1
46	13	-1
59	43	-1
21	54	1
23	55	0
16	62	1
20	34	1
17	51	-1
29	45	0
35	15	-1
19	6	1
7	1	-1
28	18	-1
5	36	-1
44	24	0
22	32	-1
50	48	1
16	21	-1
62	54	1
59	46	-1
43	13	0
29	23	-1
45	55	1
17	20	-1
51	34	0
1	6	0
32	36	1
13	16	1
23	51	1
1	32	1
13	23	-1
1	23	-1
1	19	-1
23	21	1
19	21	0
19	44	0
21	20	1
19	18	1
44	50	0
21	46	1
20	29	1
1	6	0
32	36	1
19	18	1
44	50	0
13	16	1
23	51	1
21	46	1
20	29	1
13	23	-1
1	32	1
21	20	1
19	44	0
1	23	-1
19	21	0
1	19	-1
23	21	1
12	36	1
7	37	0
11	23	-1
16	21	-1
14	9	0
38	24	0
42	15	-1
40	1	-1
43	5	-1
18	28	1
44	39	1
20	22	0
41	17	-1
30	34	-1
45	29	-1
37	23	0
33	12	0
11	7	-1
36	13	0
16	38	-1
24	21	1
9	15	-1
42	14	-1
39	1	-1
28	5	1
40	44	0
34	22	-1
43	18	-1
29	17	0
41	45	-1
20	30	0
13	12	-1
36	33	0
37	11	1
23	7	1
21	38	0
24	16	0
9	42	1
15	14	1
1	44	1
39	40	-1
28	43	-1
5	18	0
22	30	1
17	45	1
29	41	-1
34	20	-1
24	12	1
9	23	-1
37	15	0
33	38	1
20	1	-1
29	18	1
40	22	1
5	17	-1
1	24	1
29	23	-1
40	33	1
17	15	0
17	23	-1
40	1	-1
40	17	1
1	23	1
44	23	-1
43	41	1
9	24	-1
38	47	0
48	21	-1
19	49	1
26	18	-1
45	53	1
22	35	-1
56	29	1
55	5	-1
57	17	-1
46	13	0
28	1	-1
52	15	-1
11	30	0
41	23	-1
44	43	-1
47	24	-1
9	38	-1
49	21	-1
48	19	-1
53	18	0
54	45	-1
55	56	1
29	5	0
28	22	0
35	1	-1
17	13	0
46	57	1
52	11	1
30	15	-1
23	43	1
